ID_Cliente,Tiempo_Llegada,Tiempo_Inicio_Servicio,Tiempo_Salida,Tiempo_Espera_Fila
1,3,3,5,0
2,4,5,6,1
3,5,6,10,1
4,8,10,11,2
5,9,11,13,2
6,11,13,17,2
7,14,17,21,3
8,17,21,22,4
9,19,22,25,3
10,22,25,28,3
11,25,28,30,3
12,28,30,34,2
13,29,34,36,5
14,30,36,37,6
15,33,37,41,4
16,36,41,44,5
17,37,44,48,7
18,38,48,49,10
19,40,49,52,9
20,43,52,54,9
21,46,54,56,8
22,48,56,57,8
23,51,57,59,6
24,52,59,61,7
25,55,61,63,6
26,56,63,66,7
27,58,66,68,8
28,60,68,71,8
29,62,71,73,9
30,63,73,77,10
31,65,77,79,12
32,66,79,82,13
33,69,82,86,13
34,72,86,87,14
35,75,87,88,12
36,78,88,89,10
37,79,89,93,10
38,81,93,97,12
39,83,97,99,14
40,84,99,103,15
41,87,103,105,16
42,89,105,108,16
43,92,108,109,16
44,94,109,111,15
45,97,111,112,14
46,98,112,116,14
47,100,116,120,16
48,103,120,122,17
49,105,122,124,17
50,107,124,127,17
51,1,1,3,0
52,3,3,5,0
53,4,5,9,1
54,6,9,10,3
55,9,10,12,1
56,11,12,16,1
57,12,16,19,4
58,15,19,23,4
59,17,23,27,6
60,20,27,30,7
61,23,30,34,7
62,25,34,36,9
63,26,36,39,10
64,28,39,41,11
65,29,41,45,12
66,30,45,48,15
67,32,48,49,16
68,34,49,51,15
69,37,51,55,14
70,38,55,57,17
71,39,57,59,18
72,40,59,63,19
73,43,63,67,20
74,45,67,68,22
75,48,68,70,20
76,49,70,74,21
77,51,74,76,23
78,52,76,78,24
79,54,78,80,24
80,56,80,84,24
81,58,84,86,26
82,61,86,90,25
83,63,90,92,27
84,65,92,93,27
85,66,93,94,27
86,69,94,96,25
87,70,96,99,26
88,73,99,103,26
89,76,103,104,27
90,78,104,108,26
91,81,108,112,27
92,84,112,114,28
93,86,114,115,28
94,89,115,119,26
95,92,119,120,27
96,95,120,122,25
97,96,122,123,26
98,99,123,126,24
99,101,126,129,25
100,104,129,131,25
101,1,1,4,0
102,4,4,7,0
103,5,7,9,2
104,8,9,10,1
105,11,11,13,0
106,13,13,14,0
107,14,14,17,0
108,16,17,21,1
109,18,21,25,3
110,21,25,29,4
111,22,29,31,7
112,24,31,34,7
113,27,34,38,7
114,29,38,39,9
115,31,39,42,8
116,33,42,45,9
117,36,45,48,9
118,39,48,52,9
119,42,52,56,10
120,44,56,60,12
121,47,60,62,13
122,50,62,65,12
123,52,65,69,13
124,55,69,70,14
125,56,70,73,14
126,59,73,75,14
127,61,75,76,14
128,63,76,77,13
129,65,77,81,12
130,67,81,84,14
131,68,84,87,16
132,70,87,89,17
133,72,89,93,17
134,73,93,97,20
135,74,97,101,23
136,75,101,104,26
137,77,104,108,27
138,78,108,110,30
139,81,110,114,29
140,82,114,117,32
141,83,117,118,34
142,84,118,119,34
143,87,119,122,32
144,89,122,123,33
145,90,123,126,33
146,91,126,127,35
147,93,127,128,34
148,96,128,131,32
149,97,131,134,34
150,99,134,137,35
151,3,3,6,0
152,5,6,7,1
153,6,7,9,1
154,7,9,11,2
155,8,11,15,3
156,9,15,17,6
157,11,17,20,6
158,13,20,23,7
159,15,23,24,8
160,18,24,27,6
161,21,27,29,6
162,24,29,31,5
163,26,31,34,5
164,29,34,35,5
165,32,35,38,3
166,35,38,42,3
167,37,42,45,5
168,39,45,47,6
169,40,47,50,7
170,43,50,52,7
171,44,52,56,8
172,46,56,57,10
173,47,57,61,10
174,49,61,65,12
175,52,65,67,13
176,53,67,71,14
177,56,71,74,15
178,59,74,77,15
179,60,77,81,17
180,61,81,84,20
181,64,84,85,20
182,67,85,87,18
183,70,87,91,17
184,72,91,92,19
185,75,92,95,17
186,78,95,98,17
187,80,98,101,18
188,82,101,104,19
189,84,104,105,20
190,87,105,109,18
191,88,109,113,21
192,89,113,114,24
193,90,114,117,24
194,91,117,120,26
195,93,120,124,27
196,96,124,126,28
197,98,126,129,28
198,99,129,132,30
199,100,132,133,32
200,103,133,136,30
201,2,2,4,0
202,4,4,8,0
203,6,8,10,2
204,9,10,11,1
205,11,11,13,0
206,14,14,18,0
207,16,18,20,2
208,19,20,22,1
209,20,22,24,2
210,22,24,26,2
211,24,26,29,2
212,25,29,33,4
213,27,33,34,6
214,28,34,35,6
215,30,35,37,5
216,31,37,38,6
217,32,38,41,6
218,35,41,43,6
219,37,43,44,6
220,40,44,47,4
221,42,47,50,5
222,43,50,51,7
223,46,51,53,5
224,47,53,57,6
225,50,57,60,7
226,52,60,63,8
227,55,63,67,8
228,56,67,69,11
229,57,69,73,12
230,58,73,76,15
231,61,76,79,15
232,63,79,82,16
233,65,82,86,17
234,67,86,87,19
235,69,87,89,18
236,70,89,92,19
237,73,92,95,19
238,76,95,97,19
239,79,97,101,18
240,82,101,104,19
241,83,104,107,21
242,86,107,109,21
243,87,109,112,22
244,90,112,114,22
245,91,114,115,23
246,92,115,118,23
247,95,118,121,23
248,97,121,123,24
249,98,123,124,25
250,99,124,128,25
251,3,3,5,0
252,5,5,9,0
253,7,9,10,2
254,10,10,13,0
255,13,13,15,0
256,14,15,18,1
257,15,18,19,3
258,16,19,20,3
259,19,20,21,1
260,21,21,24,0
261,24,24,28,0
262,26,28,30,2
263,28,30,31,2
264,30,31,33,1
265,32,33,36,1
266,35,36,38,1
267,37,38,41,1
268,39,41,42,2
269,40,42,43,2
270,42,43,45,1
271,43,45,47,2
272,45,47,48,2
273,48,48,51,0
274,49,51,55,2
275,50,55,56,5
276,53,56,57,3
277,56,57,60,1
278,57,60,63,3
279,58,63,67,5
280,59,67,71,8
281,60,71,72,11
282,61,72,75,11
283,63,75,76,12
284,65,76,79,11
285,67,79,83,12
286,70,83,84,13
287,71,84,87,13
288,72,87,88,15
289,74,88,89,14
290,75,89,90,14
291,77,90,92,13
292,79,92,95,13
293,81,95,98,14
294,84,98,99,14
295,87,99,102,12
296,88,102,106,14
297,89,106,107,17
298,91,107,109,16
299,94,109,113,15
300,95,113,114,18
301,2,2,4,0
302,4,4,8,0
303,5,8,10,3
304,8,10,14,2
305,10,14,15,4
306,13,15,16,2
307,14,16,19,2
308,15,19,22,4
309,18,22,24,4
310,19,24,28,5
311,22,28,31,6
312,25,31,35,6
313,28,35,38,7
314,31,38,39,7
315,33,39,42,6
316,34,42,46,8
317,35,46,49,11
318,37,49,51,12
319,39,51,54,12
320,42,54,58,12
321,44,58,61,14
322,46,61,62,15
323,47,62,65,15
324,49,65,69,16
325,51,69,70,18
326,54,70,71,16
327,57,71,72,14
328,58,72,76,14
329,61,76,79,15
330,64,79,83,15
331,65,83,86,18
332,67,86,87,19
333,68,87,91,19
334,70,91,93,21
335,71,93,96,22
336,74,96,99,22
337,76,99,103,23
338,78,103,107,25
339,81,107,108,26
340,82,108,109,26
341,85,109,111,24
342,88,111,113,23
343,91,113,117,22
344,93,117,120,24
345,96,120,123,24
346,98,123,125,25
347,101,125,127,24
348,102,127,130,25
349,103,130,131,27
350,105,131,132,26
351,3,3,5,0
352,6,6,8,0
353,8,8,10,0
354,9,10,12,1
355,11,12,16,1
356,13,16,18,3
357,15,18,20,3
358,16,20,22,4
359,17,22,24,5
360,19,24,27,5
361,20,27,29,7
362,23,29,31,6
363,26,31,32,5
364,27,32,35,5
365,28,35,36,7
366,29,36,37,7
367,30,37,41,7
368,32,41,42,9
369,35,42,44,7
370,38,44,48,6
371,41,48,49,7
372,43,49,51,6
373,44,51,52,7
374,46,52,55,6
375,48,55,58,7
376,49,58,60,9
377,50,60,62,10
378,52,62,65,10
379,55,65,66,10
380,56,66,69,10
381,58,69,72,11
382,61,72,73,11
383,63,73,76,10
384,64,76,79,12
385,67,79,80,12
386,69,80,84,11
387,70,84,87,14
388,72,87,88,15
389,75,88,91,13
390,78,91,93,13
391,81,93,97,12
392,83,97,99,14
393,84,99,103,15
394,86,103,107,17
395,88,107,108,19
396,91,108,112,17
397,93,112,115,19
398,95,115,118,20
399,97,118,121,21
400,98,121,123,23
401,1,1,5,0
402,3,5,6,2
403,4,6,8,2
404,6,8,11,2
405,8,11,12,3
406,10,12,14,2
407,13,14,18,1
408,16,18,20,2
409,17,20,21,3
410,20,21,23,1
411,21,23,26,2
412,22,26,30,4
413,23,30,32,7
414,26,32,35,6
415,27,35,38,8
416,28,38,41,10
417,30,41,45,11
418,31,45,46,14
419,33,46,48,13
420,36,48,50,12
421,39,50,54,11
422,42,54,56,12
423,45,56,60,11
424,48,60,64,12
425,51,64,66,13
426,53,66,68,13
427,55,68,70,13
428,58,70,71,12
429,60,71,74,11
430,62,74,76,12
431,64,76,77,12
432,66,77,81,11
433,68,81,83,13
434,70,83,87,13
435,72,87,89,15
436,74,89,92,15
437,76,92,93,16
438,79,93,95,14
439,81,95,98,14
440,84,98,100,14
441,85,100,102,15
442,87,102,104,15
443,90,104,106,14
444,93,106,108,13
445,94,108,112,14
446,96,112,116,16
447,99,116,118,17
448,102,118,119,16
449,104,119,122,15
450,107,122,124,15
451,2,2,4,0
452,4,4,7,0
453,6,7,10,1
454,7,10,11,3
455,8,11,12,3
456,11,12,14,1
457,12,14,18,2
458,14,18,20,4
459,17,20,23,3
460,20,23,27,3
461,21,27,29,6
462,24,29,30,5
463,27,30,33,3
464,29,33,34,4
465,30,34,35,4
466,32,35,36,3
467,33,36,40,3
468,34,40,43,6
469,37,43,44,6
470,38,44,46,6
471,41,46,49,5
472,43,49,50,6
473,46,50,52,4
474,49,52,56,3
475,51,56,58,5
476,52,58,62,6
477,54,62,63,8
478,55,63,66,8
479,56,66,69,10
480,58,69,73,11
481,61,73,76,12
482,63,76,79,13
483,66,79,80,13
484,68,80,83,12
485,69,83,87,14
486,72,87,90,15
487,73,90,94,17
488,76,94,96,18
489,79,96,99,17
490,80,99,101,19
491,82,101,102,19
492,84,102,105,18
493,87,105,109,18
494,89,109,111,20
495,91,111,114,20
496,94,114,115,20
497,95,115,118,20
498,96,118,121,22
499,97,121,125,24
500,98,125,127,27
501,3,3,5,0
502,5,5,7,0
503,8,8,11,0
504,10,11,13,1
505,11,13,17,2
506,14,17,21,3
507,15,21,24,6
508,17,24,26,7
509,20,26,30,6
510,22,30,32,8
511,23,32,33,9
512,26,33,37,7
513,28,37,39,9
514,31,39,42,8
515,32,42,45,10
516,35,45,48,10
517,36,48,50,12
518,37,50,53,13
519,40,53,56,13
520,41,56,57,15
521,44,57,60,13
522,45,60,63,15
523,46,63,66,17
524,47,66,69,19
525,49,69,73,20
526,51,73,75,22
527,52,75,77,23
528,55,77,79,22
529,57,79,83,22
530,60,83,87,23
531,61,87,89,26
532,62,89,92,27
533,64,92,94,28
534,65,94,97,29
535,66,97,100,31
536,68,100,103,32
537,69,103,107,34
538,72,107,110,35
539,73,110,111,37
540,74,111,112,37
541,75,112,113,37
542,76,113,114,37
543,79,114,117,35
544,81,117,119,36
545,84,119,120,35
546,85,120,123,35
547,88,123,127,35
548,90,127,129,37
549,91,129,133,38
550,92,133,135,41
551,2,2,3,0
552,5,5,6,0
553,6,6,7,0
554,8,8,12,0
555,11,12,16,1
556,14,16,19,2
557,16,19,20,3
558,19,20,22,1
559,21,22,26,1
560,23,26,29,3
561,24,29,31,5
562,26,31,35,5
563,29,35,37,6
564,32,37,40,5
565,34,40,44,6
566,35,44,45,9
567,36,45,49,9
568,37,49,53,12
569,38,53,54,15
570,40,54,58,14
571,43,58,62,15
572,44,62,66,18
573,47,66,70,19
574,48,70,73,22
575,49,73,75,24
576,52,75,79,23
577,53,79,81,26
578,55,81,82,26
579,58,82,86,24
580,59,86,88,27
581,62,88,91,26
582,64,91,95,27
583,66,95,99,29
584,69,99,102,30
585,72,102,106,30
586,73,106,110,33
587,75,110,112,35
588,78,112,113,34
589,79,113,116,34
590,82,116,120,34
591,84,120,124,36
592,86,124,128,38
593,87,128,132,41
594,90,132,135,42
595,93,135,137,42
596,95,137,140,42
597,97,140,142,43
598,99,142,145,43
599,100,145,147,45
600,102,147,149,45
601,1,1,5,0
602,2,5,6,3
603,3,6,8,3
604,5,8,12,3
605,7,12,15,5
606,9,15,16,6
607,10,16,17,6
608,11,17,20,6
609,12,20,23,8
610,14,23,26,9
611,17,26,27,9
612,19,27,29,8
613,20,29,32,9
614,22,32,36,10
615,25,36,38,11
616,26,38,41,12
617,29,41,43,12
618,32,43,46,11
619,35,46,50,11
620,38,50,53,12
621,40,53,55,13
622,42,55,56,13
623,43,56,59,13
624,45,59,61,14
625,46,61,62,15
626,49,62,63,13
627,50,63,65,13
628,51,65,66,14
629,53,66,68,13
630,54,68,69,14
631,56,69,73,13
632,57,73,74,16
633,60,74,76,14
634,61,76,80,15
635,64,80,84,16
636,66,84,88,18
637,69,88,92,19
638,72,92,94,20
639,74,94,97,20
640,76,97,101,21
641,79,101,102,22
642,81,102,103,21
643,84,103,105,19
644,86,105,108,19
645,89,108,109,19
646,92,109,111,17
647,94,111,113,17
648,97,113,114,16
649,100,114,115,14
650,103,115,118,12
651,1,1,4,0
652,3,4,8,1
653,4,8,9,4
654,6,9,11,3
655,9,11,12,2
656,10,12,14,2
657,12,14,15,2
658,14,15,19,1
659,15,19,21,4
660,16,21,23,5
661,17,23,24,6
662,20,24,28,4
663,22,28,30,6
664,23,30,31,7
665,26,31,35,5
666,29,35,38,6
667,32,38,42,6
668,34,42,45,8
669,35,45,47,10
670,37,47,50,10
671,40,50,54,10
672,43,54,55,11
673,44,55,59,11
674,47,59,63,12
675,50,63,65,13
676,53,65,67,12
677,56,67,70,11
678,58,70,73,12
679,59,73,76,14
680,61,76,80,15
681,63,80,84,17
682,66,84,86,18
683,68,86,88,18
684,69,88,92,19
685,71,92,96,21
686,73,96,98,23
687,76,98,101,22
688,78,101,102,23
689,80,102,104,22
690,82,104,108,22
691,85,108,110,23
692,88,110,112,22
693,90,112,113,22
694,91,113,117,22
695,93,117,118,24
696,96,118,121,22
697,97,121,122,24
698,99,122,125,23
699,101,125,128,24
700,103,128,129,25
701,2,2,5,0
702,3,5,9,2
703,6,9,12,3
704,8,12,13,4
705,11,13,15,2
706,14,15,16,1
707,17,17,20,0
708,20,20,21,0
709,23,23,24,0
710,26,26,30,0
711,27,30,33,3
712,30,33,35,3
713,32,35,39,3
714,34,39,42,5
715,36,42,45,6
716,39,45,48,6
717,40,48,50,8
718,41,50,54,9
719,43,54,58,11
720,46,58,62,12
